filename,ext,size_mb,pages,text_chars_sampled,text_coverage,scan_suspected,score_ger,score_rubric,score_method,score_unit,category,hints,path
1_Handout_1_Dez_25_docx.pdf,pdf,0.88,8,7385,high,False,8,1,4,4,ger_norms,,/home/cojones/dev/daz_kernel/docs/00_inbox_raw/teams_download/2026-01-15/1_Handout_1_Dez_25_docx.pdf
2_pp_GeR_dez_25.pdf,pdf,3.84,27,1210,medium,False,4,0,2,2,ger_norms,,/home/cojones/dev/daz_kernel/docs/00_inbox_raw/teams_download/2026-01-15/2_pp_GeR_dez_25.pdf
4b_GeR-Deskriptorenübersicht .pdf,pdf,4.6,25,4625,high,False,10,0,0,1,ger_norms,,/home/cojones/dev/daz_kernel/docs/00_inbox_raw/teams_download/2026-01-15/4b_GeR-Deskriptorenübersicht .pdf
9_GER_Begleitband_2020_Scan.pdf,pdf,60.14,204,0,none,True,0,0,0,0,unknown,scan_suspected(textlayer=0);large_pdf;many_pages;no_keywords_hit,/home/cojones/dev/daz_kernel/docs/00_inbox_raw/teams_download/2026-01-15/9_GER_Begleitband_2020_Scan.pdf
AVIVA_Modell_Unterrichtsplanung.pdf,pdf,0.54,4,9637,high,False,0,0,3,4,exemplar_units,,/home/cojones/dev/daz_kernel/docs/00_inbox_raw/teams_download/2026-01-15/AVIVA_Modell_Unterrichtsplanung.pdf
Beurteilungen_Arten_und_Formen.pdf,pdf,0.33,4,259,low,False,0,1,1,0,rubrics,,/home/cojones/dev/daz_kernel/docs/00_inbox_raw/teams_download/2026-01-15/Beurteilungen_Arten_und_Formen.pdf
DaF_unterrichten_Teildruck_Leitfaden_für_Neueinsteiger.pdf,pdf,3.51,20,3791,high,False,0,0,1,0,methods_templates,,/home/cojones/dev/daz_kernel/docs/00_inbox_raw/teams_download/2026-01-15/DaF_unterrichten_Teildruck_Leitfaden_für_Neueinsteiger.pdf
Das_AVIVA_Modell.pdf,pdf,15.74,17,4516,high,False,0,0,4,2,methods_templates,,/home/cojones/dev/daz_kernel/docs/00_inbox_raw/teams_download/2026-01-15/Das_AVIVA_Modell.pdf
Didaktische_Reduktion_Lektüre.pdf,pdf,2.7,7,262,low,False,0,0,1,0,methods_templates,,/home/cojones/dev/daz_kernel/docs/00_inbox_raw/teams_download/2026-01-15/Didaktische_Reduktion_Lektüre.pdf
Einen_authentischen_Lesetext_didaktisieren.pdf,pdf,0.71,5,3721,high,False,2,1,1,2,ger_norms,,/home/cojones/dev/daz_kernel/docs/00_inbox_raw/teams_download/2026-01-15/Einen_authentischen_Lesetext_didaktisieren.pdf
